rank,corridor_key,corridor_name,origin_market,destination_market,origin_airport_iata,origin_airport_icao,destination_airport_iata,destination_airport_icao,primary_route_label,route_family,route_direction,waypoints,validation_status,faa_validation_status,source_basis,route_rank_basis,geometry_source_basis,notes
1,lga_ord,New York (LGA) to Chicago (ORD),New York,Chicago,LGA,KLGA,ORD,KORD,Q-436 / J-60,q_route_or_mixed,new_york_to_chicago,LGA|DIXIE|LANNA|COATE|DJB|ORD,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
2,ord_lga,Chicago (ORD) to New York (LGA),Chicago,New York,ORD,KORD,LGA,KLGA,Q-42 / WYNDA STAR,q_route_or_mixed,chicago_to_new_york,ORD|OXI|VIO|ETG|MIP|WYNDA|LGA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
3,jfk_dca,New York (JFK) to Washington (DCA),New York,Washington,JFK,KJFK,DCA,KDCA,V-169 / CAPS2 STAR,victor_route_or_mixed,new_york_to_washington,JFK|WHITE|ATR|ENO|BAL|CAPS|DCA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
4,dca_bos,Washington (DCA) to Boston (BOS),Washington,Boston,DCA,KDCA,BOS,KBOS,Q-75 / ROBUC STAR,q_route_or_mixed,washington_to_boston,DCA|BAL|MXE|ARD|JFK|ROBUC|BOS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
5,bos_lga,Boston (BOS) to New York (LGA),Boston,New York,BOS,KBOS,LGA,KLGA,J-55 / HAARP STAR,jet_route_or_mixed,boston_to_new_york,BOS|PVD|SEY|HNY|HAARP|LGA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
6,ewr_bos,New York (EWR) to Boston (BOS),New York,Boston,EWR,KEWR,BOS,KBOS,Q-480 / WOONS STAR,q_route_or_mixed,new_york_to_boston,EWR|BDR|MAD|ORW|WOONS|BOS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
7,phl_bos,Philadelphia (PHL) to Boston (BOS),Philadelphia,Boston,PHL,KPHL,BOS,KBOS,J-121 / JFUND STAR,jet_route_or_mixed,philadelphia_to_boston,PHL|BRIGS|JFK|ORW|JFUND|BOS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
8,iad_ord,Washington (IAD) to Chicago (ORD),Washington,Chicago,IAD,KIAD,ORD,KORD,Q-68 / J-212,q_route_or_mixed,washington_to_chicago,IAD|LDN|EWC|DJB|OBK|ORD,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
9,bos_dca,Boston (BOS) to Washington (DCA),Boston,Washington,BOS,KBOS,DCA,KDCA,Q-419 / TRKEE STAR,q_route_or_mixed,boston_to_washington,BOS|HNK|LRP|EMI|TRKEE|DCA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
10,lga_yyz,New York (LGA) to Toronto (YYZ),New York,Toronto,LGA,KLGA,YYZ,CYYZ,Q-938 / LINNG STAR,q_route_or_mixed,new_york_to_toronto,LGA|GIBBS|HUO|JHW|LINNG|YYZ,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
11,jfk_mia,New York (JFK) to Miami (MIA),New York,Miami,JFK,KJFK,MIA,KMIA,Q-85 / ANNEY STAR,q_route_or_mixed,new_york_to_miami,JFK|WAVER|CARDN|ISO|CHS|ANNEY|MIA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
12,mia_jfk,Miami (MIA) to New York (JFK),Miami,New York,MIA,KMIA,JFK,KJFK,Q-103 / CAMRN STAR,q_route_or_mixed,miami_to_new_york,MIA|DIXIE|OMN|ILM|SARAA|CAMRN|JFK,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
13,bos_mco,Boston (BOS) to Orlando (MCO),Boston,Orlando,BOS,KBOS,MCO,KMCO,Q-75 / BITHO STAR,q_route_or_mixed,boston_to_orlando,BOS|HNK|LRP|GVE|ISO|BITHO|MCO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
14,mco_bos,Orlando (MCO) to Boston (BOS),Orlando,Boston,MCO,KMCO,BOS,KBOS,Q-97 / ROBUC STAR,q_route_or_mixed,orlando_to_boston,MCO|OMN|CHS|PXT|JFK|ROBUC|BOS,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
15,ewr_fll,New York (EWR) to Fort Lauderdale (FLL),New York,Fort Lauderdale,EWR,KEWR,FLL,KFLL,Q-22 / FORTL STAR,q_route_or_mixed,new_york_to_fort_lauderdale,EWR|LANNA|BAE|ILM|JAYCO|FORTL|FLL,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
16,dca_mco,Washington (DCA) to Orlando (MCO),Washington,Orlando,DCA,KDCA,MCO,KMCO,J-79 / TIEGE STAR,jet_route_or_mixed,washington_to_orlando,DCA|FAK|TYI|CHS|TIEGE|MCO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
17,lga_pbi,New York (LGA) to West Palm Beach (PBI),New York,West Palm Beach,LGA,KLGA,PBI,KPBI,Q-87 / BUFFE STAR,q_route_or_mixed,new_york_to_west_palm_beach,LGA|WHITE|SBY|DIW|CLB|BUFFE|PBI,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
18,bos_mia,Boston (BOS) to Miami (MIA),Boston,Miami,BOS,KBOS,MIA,KMIA,Q-63 / FROGZ STAR,q_route_or_mixed,boston_to_miami,BOS|ORW|SBY|ISO|JZI|FROGZ|MIA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
19,phl_mco,Philadelphia (PHL) to Orlando (MCO),Philadelphia,Orlando,PHL,KPHL,MCO,KMCO,Q-99 / BAIRN STAR,q_route_or_mixed,philadelphia_to_orlando,PHL|ENO|RDU|CHS|TAY|BAIRN|MCO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
20,ewr_tpa,New York (EWR) to Tampa (TPA),New York,Tampa,EWR,KEWR,TPA,KTPA,Q-421 / DADDE STAR,q_route_or_mixed,new_york_to_tampa,EWR|DIXIE|SBY|RDU|CRG|DADDE|TPA,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
21,atl_mco,Atlanta (ATL) to Orlando (MCO),Atlanta,Orlando,ATL,KATL,MCO,KMCO,J-89 / JURSN STAR,jet_route_or_mixed,atlanta_to_orlando,ATL|MACON|VAD|TAY|JURSN|MCO,user_approved_for_testing,needs_faa_validation,User-provided Top-50 aviation route table; user-approved for RouteCast testing regardless of FAA validation status,static_top_50_busiest_route_reference_not_delay_truth,FAA NASR 2026-06-11 waypoint coordinate extraction companion files; coordinates are not delay truth,"Internal RouteCast test corridor only; not FAA approval truth, not delay truth, not ATCSCC operational truth, not dispatch guidance"
